sutta_uid,language,abstract,url,priority
mn10,en,English translation of MN 10 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/010-satipatthanai-sutta-e1.html,8
mn10,fr,French translation of MN 10 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn010.html,1
mn10,de,German translation of MN 10 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m010z.html,2
mn10,de,German translation of MN 10 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m010n.htm,4
mn11,en,English translation of MN 11 from Access to Insight. Translator Ñanamoli Thera & Bhikkhu Bodhi.,http://www.accesstoinsight.org/tipitaka/mn/mn.011.ntbb.html,1
mn11,en,English translation of MN 11 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/011-culasihanada-sutta-e1.html,8
mn11,fr,French translation of MN 11 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn011.html,1
mn11,de,German translation of MN 11 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m011z.html,2
mn11,de,German translation of MN 11 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m011n.htm,4
mn12,en,English translation of MN 12 from Access to Insight. Translator Ñanamoli Thera & Bhikkhu Bodhi.,http://www.accesstoinsight.org/tipitaka/mn/mn.012.ntbb.html,1
mn12,en,English translation of MN 12 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/012-mahasihanada-sutta-e1.html,8
mn12,fr,French translation of MN 12 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn012.html,1
mn12,de,German translation of MN 12 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m012z.html,2
mn12,de,German translation of MN 12 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m012n.htm,4
mn13,en,English translation of MN 13 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.013.than.html,3
mn13,en,English translation of MN 13 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/013-mahadukkhakkhanda-sutta-e1.html,8
mn13,fr,French translation of MN 13 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn013.html,1
mn13,de,German translation of MN 13 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m013z.html,2
mn13,de,German translation of MN 13 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m013n.htm,4
mn14,en,English translation of MN 14 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.014.than.html,3
mn14,en,English translation of MN 14 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/014-culadukkhakkhanda-sutta-e1.html,8
mn14,de,German translation of MN 14 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m014z.html,2
mn14,de,German translation of MN 14 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m014n.htm,4
mn15,en,English translation of MN 15 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/015-anumana-sutta-e1.html,8
mn15,de,German translation of MN 15 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m015z.html,2
mn15,de,German translation of MN 15 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m015n.htm,4
mn16,en,English translation of MN 16 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/016-cetokhila-sutta-e1.html,8
mn16,de,German translation of MN 16 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m016z.html,2
mn16,de,German translation of MN 16 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m016n.htm,4
mn17,en,English translation of MN 17 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/017-vanapattha-sutta-e1.html,8
mn17,de,German translation of MN 17 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m017z.html,2
mn17,de,German translation of MN 17 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m017n.htm,4
mn18,en,English translation of MN 18 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.018.than.html,3
mn18,en,English translation of MN 18 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/018-madhupindika-sutta-e1.html,8
mn18,fr,French translation of MN 18 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn018.html,1
mn18,de,German translation of MN 18 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m018z.html,2
mn18,de,German translation of MN 18 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m018n.htm,4
mn19,en,English translation of MN 19 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.019.than.html,3
mn19,en,English translation of MN 19 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/019-dvedhavitakka-sutta-e1.html,8
mn19,fr,French translation of MN 19 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn019.html,1
mn19,de,German translation of MN 19 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m019z.html,2
mn19,de,German translation of MN 19 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m019n.htm,4
mn20,en,English translation of MN 20 from Access to Insight. Translator Soma Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.020.soma.html,2
mn20,en,English translation of MN 20 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.020.than.html,3
mn20,en,English translation of MN 20 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/020-vitakkasanthana-sutta-e1.html,8
mn20,fr,French translation of MN 20 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn020.html,1
mn20,de,German translation of MN 20 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m020z.html,2
mn20,de,German translation of MN 20 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m020n.htm,4
