sutta_uid,other_sutta_uid,partial,footnote
mn118,sa810-812,1,
mn118,sa815,,"<span class='author'>Akanuma</span> p. 169 lists T 96. Examination shows that this discourse bears no resemblance to MN 118, apart from a single introductory sentence that links mindfulness of breathing to the attainment of knowledge and liberation."
mn118,sht84,,
mn119,ma81,,
mn120,ma168,1,"<span class='author'>Akanuma</span> p. 169 lists A iv. 123, 124 as parallel(s). Neither AN 4.123–124 at AN ii 126 nor AN 7.66 at AN iv 123–124 bears any resemblance to MN 120. He also lists MA 168 as a full parallel, yet  examination shows that this discourse differs in so many respects from MN 120 that it is probably best reckoned as a partial parallel. A so far unpublished Gandharī fragment, Senior manuscript 10, parallels part of MN 120 (Mark Allon, private communication)."
mn121,ma190,,
mn121,tib60,,
mn122,ma191,,
mn122,tib70,,
mn123,ma32,,"Several of the \""wonderful and marvellous\"" qualities of the Buddha treated in MN 123 recur in various Buddha biographies. Thus, e.g., his taking of a series of steps and making a proclamation right after being born can be found in the Saṅghabhedavastu in <span class='author'>Gnoli</span> 1977 p. 45, the Buddhacarita in <span class='author'>Johnston</span> 1995 p. 2, the Lalitavistara in <span class='author'>Lefmann</span> 1902 p. 85 or <span class='author'>Vaidya</span> 1958b p. 62, the Mahāvastu in <span class='author'>Senart</span> 1890 p. 24 or <span class='author'>Basak</span> 1965 p. 33, and in several Chinese accounts such as T 184 at T iii 463c, T 185 at T iii 473c, T 188 at T iii 618a, T 189 at T iii 625a."
mn124,ma34,,
mn125,ma198,,
mn126,ma173,,
mn126,sht80,,Identified by <span class='author'>Skilling</span> 2001: 249.
mn127,ma79,,
mn128,ja371,1,
mn128,ja428,1,
mn128,kosambakavivadakatha,1,
mn128,ma72,,
mn128,ea24.8,1,
mn128,t212.15,1,
mn128,t1421.24,1,
mn128,t1425.13,1,
mn128,t1428.43,1,
mn128,sf13,,
mn128,sht75,,
mn129,ma199,,
mn129,t86,1,
mn129,up2.033,1,
sa968,sf80,1,
mn129,divy26,,
mn130,an3.36,,
mn130,da30,1,"Correspondence reference is DA 30.4, T i 126b09–127a26."
mn130,t24,1,Correspondence reference is T i 330c18–332b9.
mn130,t25,1,Correspondence reference is T i 365a15–387b6.
mn130,ma64,,
mn130,t42,,
mn130,t43,,
mn130,t86,,
mn130,ea32.4,,
mn130,t212.9,1,Correspondence reference is T iv 668a04–669b10.
mn130,t741,1,
mn131,sht21,,
mn132,ma167,,
mn132,sf106,,
mn133,ma165,,
mn133,t1362,1,
mn133,dq120,1,
mn133,dq140,1,
mn133,dq150,1,
mn134,ma166,,
mn134,t77,,
