uid,division_uid,name,acronym,vagga_numbering_ind
skt-mu-mpt-bu-pm-pc,skt-mu-mpt-bu-pm,Pācittiyā,Pc,
skt-mu-mpt-bu-pm-pd,skt-mu-mpt-bu-pm,Pāṭidesanīyā,Pd,
skt-mu-mpt-bu-pm-sk,skt-mu-mpt-bu-pm,Sekhiyā,Sk,
skt-mu-mpt-bu-pm-as,skt-mu-mpt-bu-pm,Sekhiyā,Sk,
zh-mi-bu-vb-pj,zh-mi-bu-vb,Pārājika,Pj,
zh-mi-bu-vb-ss,zh-mi-bu-vb,Saṅghādisesā,Ss,
zh-mi-bu-vb-ay,zh-mi-bu-vb,Aniyatā,An,
zh-mi-bu-vb-np,zh-mi-bu-vb,Nissaggiyā Pācittiyā,NP,
zh-mi-bu-vb-pc,zh-mi-bu-vb,Pācittiyā,Pc,
zh-mi-bu-vb-pd,zh-mi-bu-vb,Pāṭidesanīyā,Pd,
zh-mi-bu-vb-sk,zh-mi-bu-vb,Sekhiyā,Sk,
zh-mi-bu-vb-as,zh-mi-bu-vb,Adhikaraṇasamathā,As,
zh-mi-bu-pm-pj,zh-mi-bu-pm,Pārājika,Pj,
zh-mi-bu-pm-ss,zh-mi-bu-pm,Saṅghādisesā,Ss,
zh-mi-bu-pm-ay,zh-mi-bu-pm,Aniyatā,An,
zh-mi-bu-pm-np,zh-mi-bu-pm,Nissaggiyā Pācittiyā,NP,
zh-mi-bu-pm-pc,zh-mi-bu-pm,Pācittiyā,Pc,
zh-mi-bu-pm-pd,zh-mi-bu-pm,Pāṭidesanīyā,Pd,
zh-mi-bu-pm-sk,zh-mi-bu-pm,Sekhiyā,Sk,
zh-mi-bu-pm-as,zh-mi-bu-pm,Adhikaraṇasamathā,As,
zh-mg-bu-vb-pj,zh-mg-bu-vb,Pārājika,Pj,
zh-mg-bu-vb-ss,zh-mg-bu-vb,Saṅghādisesā,Ss,
zh-mg-bu-vb-ay,zh-mg-bu-vb,Aniyatā,An,
zh-mg-bu-vb-np,zh-mg-bu-vb,Nissaggiyā Pācittiyā,NP,
zh-mg-bu-vb-pc,zh-mg-bu-vb,Pācittiyā,Pc,
zh-mg-bu-vb-pd,zh-mg-bu-vb,Pāṭidesanīyā,Pd,
zh-mg-bu-vb-sk,zh-mg-bu-vb,Sekhiyā,Sk,
zh-mg-bu-vb-as,zh-mg-bu-vb,Adhikaraṇasamathā,As,
zh-mg-bu-pm-pj,zh-mg-bu-pm,Pārājika,Pj,
zh-mg-bu-pm-ss,zh-mg-bu-pm,Saṅghādisesā,Ss,
zh-mg-bu-pm-ay,zh-mg-bu-pm,Aniyatā,An,
zh-mg-bu-pm-np,zh-mg-bu-pm,Nissaggiyā Pācittiyā,NP,
zh-mg-bu-pm-pc,zh-mg-bu-pm,Pācittiyā,Pc,
zh-mg-bu-pm-pd,zh-mg-bu-pm,Pāṭidesanīyā,Pd,
zh-mg-bu-pm-sk,zh-mg-bu-pm,Sekhiyā,Sk,
zh-mg-bu-pm-as,zh-mg-bu-pm,Adhikaraṇasamathā,As,
skt-mg-bu-pm-pj,skt-mg-bu-pm,Pārājika,Pj,
skt-mg-bu-pm-ss,skt-mg-bu-pm,Saṅghādisesā,Ss,
skt-mg-bu-pm-ay,skt-mg-bu-pm,Aniyatā,An,
skt-mg-bu-pm-np,skt-mg-bu-pm,Nissaggiyā Pācittiyā,NP,
skt-mg-bu-pm-pc,skt-mg-bu-pm,Pācittiyā,Pc,
skt-mg-bu-pm-pd,skt-mg-bu-pm,Pāṭidesanīyā,Pd,
skt-mg-bu-pm-sk,skt-mg-bu-pm,Sekhiyā,Sk,
skt-mg-bu-pm-as,skt-mg-bu-pm,Sekhiyā,Sk,
skt-lo-bu-pm-pj,skt-lo-bu-pm,Pārājika,Pj,
skt-lo-bu-pm-ss,skt-lo-bu-pm,Saṅghādisesā,Ss,
skt-lo-bu-pm-ay,skt-lo-bu-pm,Aniyatā,An,
skt-lo-bu-pm-np,skt-lo-bu-pm,Nissaggiyā Pācittiyā,NP,
skt-lo-bu-pm-pc,skt-lo-bu-pm,Pācittiyā,Pc,
skt-lo-bu-pm-pd,skt-lo-bu-pm,Pāṭidesanīyā,Pd,
skt-lo-bu-pm-sk,skt-lo-bu-pm,Sekhiyā,Sk,
skt-lo-bu-pm-as,skt-lo-bu-pm,Sekhiyā,Sk,
zh-dg-bu-vb-pj,zh-dg-bu-vb,Pārājika,Pj,
zh-dg-bu-vb-ss,zh-dg-bu-vb,Saṅghādisesā,Ss,
zh-dg-bu-vb-ay,zh-dg-bu-vb,Aniyatā,An,
zh-dg-bu-vb-np,zh-dg-bu-vb,Nissaggiyā Pācittiyā,NP,
zh-dg-bu-vb-pc,zh-dg-bu-vb,Pācittiyā,Pc,
zh-dg-bu-vb-pd,zh-dg-bu-vb,Pāṭidesanīyā,Pd,
zh-dg-bu-vb-sk,zh-dg-bu-vb,Sekhiyā,Sk,
zh-dg-bu-vb-as,zh-dg-bu-vb,Adhikaraṇasamathā,As,
zh-dg-bu-pm-pj,zh-dg-bu-pm,Pārājika,Pj,
zh-dg-bu-pm-ss,zh-dg-bu-pm,Saṅghādisesā,Ss,
zh-dg-bu-pm-ay,zh-dg-bu-pm,Aniyatā,An,
zh-dg-bu-pm-np,zh-dg-bu-pm,Nissaggiyā Pācittiyā,NP,
zh-dg-bu-pm-pc,zh-dg-bu-pm,Pācittiyā,Pc,
zh-dg-bu-pm-pd,zh-dg-bu-pm,Pāṭidesanīyā,Pd,
zh-dg-bu-pm-sk,zh-dg-bu-pm,Sekhiyā,Sk,
zh-dg-bu-pm-as,zh-dg-bu-pm,Adhikaraṇasamathā,As,
zh-dg-bu-pm-2-pj,zh-dg-bu-pm-2,Pārājika,Pj,
zh-dg-bu-pm-2-ss,zh-dg-bu-pm-2,Saṅghādisesā,Ss,
zh-dg-bu-pm-2-ay,zh-dg-bu-pm-2,Aniyatā,An,
zh-dg-bu-pm-2-np,zh-dg-bu-pm-2,Nissaggiyā Pācittiyā,NP,
zh-dg-bu-pm-2-pc,zh-dg-bu-pm-2,Pācittiyā,Pc,
zh-dg-bu-pm-2-pd,zh-dg-bu-pm-2,Pāṭidesanīyā,Pd,
zh-dg-bu-pm-2-sk,zh-dg-bu-pm-2,Sekhiyā,Sk,
zh-dg-bu-pm-2-as,zh-dg-bu-pm-2,Adhikaraṇasamathā,As,
zh-ka-bu-pm-pj,zh-ka-bu-pm,Pārājika,Pj,
zh-ka-bu-pm-ss,zh-ka-bu-pm,Saṅghādisesā,Ss,
zh-ka-bu-pm-ay,zh-ka-bu-pm,Aniyatā,An,
zh-ka-bu-pm-np,zh-ka-bu-pm,Nissaggiyā Pācittiyā,NP,
zh-ka-bu-pm-pc,zh-ka-bu-pm,Pācittiyā,Pc,
zh-ka-bu-pm-pd,zh-ka-bu-pm,Pāṭidesanīyā,Pd,
zh-ka-bu-pm-sk,zh-ka-bu-pm,Sekhiyā,Sk,
zh-ka-bu-pm-as,zh-ka-bu-pm,Adhikaraṇasamathā,As,
zh-upali-bu-pj,zh-upali-bu,Pārājika,Pj,
zh-upali-bu-ss,zh-upali-bu,Saṅghādisesā,Ss,
zh-upali-bu-np,zh-upali-bu,Nissaggiyā Pācittiyā,NP,
zh-upali-bu-pc,zh-upali-bu,Pācittiyā,Pc,
zh-upali-bu-pd,zh-upali-bu,Pāṭidesanīyā,Pd,
zh-upali-bu-sk,zh-upali-bu,Sekhiyā,Sk,
zh-upali-bu-as,zh-upali-bu,Adhikaraṇasamathā,As,
gr-dg-bu-pm-pc,gr-dg-bu-pm,Pācittiyā,Pc,
gr-pm-bf13-np,gr-pm-bf13,Nissaggiyā Pācittiyā,NP,
skt-bu-pm-qizil-pj,skt-bu-pm-qizil,Pārājika,Pj,
skt-bu-pm-qizil-ss,skt-bu-pm-qizil,Saṅghādisesā,Ss,
skt-bu-pm-qizil-np,skt-bu-pm-qizil,Nissaggiyā Pācittiyā,NP,
skt-bu-pm-qizil-pc,skt-bu-pm-qizil,Pācittiyā,Pc,
skt-bu-pm-qizil-sk,skt-bu-pm-qizil,Sekhiyā,Sk,
pi-tv-bi-vb-pj,pi-tv-bi-vb,Pārājika,Pj,
pi-tv-bi-vb-ss,pi-tv-bi-vb,Saṅghādisesā,Ss,
pi-tv-bi-vb-np,pi-tv-bi-vb,Nissaggiyā Pācittiyā,NP,
pi-tv-bi-vb-pc,pi-tv-bi-vb,Pācittiyā,Pc,
pi-tv-bi-vb-pd,pi-tv-bi-vb,Pāṭidesanīyā,Pd,
pi-tv-bi-vb-sk,pi-tv-bi-vb,Sekhiyā,Sk,
pi-tv-bi-vb-as,pi-tv-bi-vb,Adhikaraṇasamathā,As,
pi-tv-bi-pm-pj,pi-tv-bi-pm,Pārājika,Pj,
